datetime,MU_buy_hold,S12_full,L1+L4
2026-01-13,191495.48738963756,87415.66565550619,90060.71450051153
2026-01-14,188780.10921907003,87415.66565550619,90060.71450051153
2026-01-15,190808.54469646927,87415.66565550619,90060.71450051153
2026-01-16,205358.72271346336,87415.66565550619,90060.71450051153
2026-01-20,206631.53095242634,87415.66565550619,90060.71450051153
2026-01-21,220086.72673804112,87415.66565550619,90060.71450051153
2026-01-22,224867.40283929292,87415.66565550619,90060.71450051153
2026-01-23,226039.6666714457,87415.66565550619,90060.71450051153
2026-01-26,220028.94399616428,87415.66565550619,90060.71450051153
2026-01-27,231867.0746768843,87415.66565550619,90060.71450051153
2026-01-28,245810.07840888618,87415.66565550619,90060.71450051153
2026-01-29,246116.90182418018,87415.66565550619,90060.71450051153
2026-01-30,234734.51124735246,87415.66565550619,90060.71450051153
2026-02-02,247797.35138932057,87415.66565550619,90060.71450051153
2026-02-03,237532.277809485,87415.66565550619,90060.71450051153
2026-02-04,214476.58347107738,87415.66565550619,90060.71450051153
2026-02-05,216648.00801843475,87415.66565550619,90060.71450051153
2026-02-06,223447.8577353308,87415.66565550619,90060.71450051153
2026-02-09,217171.31970591043,87415.66565550619,90060.71450051153
2026-02-10,211335.86772761875,87415.66565550619,90060.71450051153
2026-02-11,231862.41057126367,87415.66565550619,90060.71450051153
2026-02-12,234045.51217563468,87415.66565550619,90060.71450051153
2026-02-13,232818.78586838846,87415.66565550619,90060.71450051153
2026-02-17,226082.22251588586,87415.66565550619,90060.71450051153
2026-02-18,238062.7337688412,87415.66565550619,90060.71450051153
2026-02-19,236037.55229321594,87415.66565550619,90060.71450051153
2026-02-20,242195.33211978228,87415.66565550619,90060.71450051153
2026-02-23,238112.1225685181,87415.66565550619,90060.71450051153
2026-02-24,236559.75061067575,87415.66565550619,90060.71450051153
2026-02-25,242751.02281098935,87415.66565550619,90060.71450051153
2026-02-26,235094.54230622313,87415.66565550619,90060.71450051153
2026-02-27,233494.29923319124,87415.66565550619,90060.71450051153
2026-03-02,233836.36720009334,87415.66565550619,90060.71450051153
2026-03-03,214879.75407977396,87415.66565550619,90060.71450051153
2026-03-04,226672.51602474976,87415.66565550619,90060.71450051153
2026-03-05,224563.7569601304,87415.66565550619,90060.71450051153
2026-03-06,209186.91493956037,81394.97444812478,88509.99773865397
2026-03-09,220181.0991150079,81362.41645834554,88501.14673888011
2026-03-10,227918.8057806997,81362.41645834554,88501.14673888011
2026-03-11,236644.25603691314,81362.41645834554,88501.14673888011
2026-03-12,229048.7511099189,81362.41645834554,88501.14673888011
2026-03-13,240648.77052318538,81362.41645834554,88501.14673888011
2026-03-16,249608.64336934706,81362.41645834554,88501.14673888011
2026-03-17,260723.43497182312,81362.41645834554,88501.14673888011
2026-03-18,260757.32682053317,81362.41645834554,88501.14673888011
2026-03-19,251839.7608674281,78547.38125949094,87735.64021248384
2026-03-20,239716.53505516212,78515.96230698716,87726.86664846259
2026-03-23,229295.8924408881,78515.96230698716,87726.86664846259
2026-03-24,224269.3638054969,78515.96230698716,87726.86664846259
2026-03-25,216631.8771827521,78515.96230698716,87726.86664846259
2026-03-26,201264.31132718464,78515.96230698716,87726.86664846259
2026-03-27,202279.1036346031,78515.96230698716,87726.86664846259
2026-03-30,182655.53197630346,78515.96230698716,87726.86664846259
2026-03-31,191763.65601592624,78515.96230698716,87726.86664846259
2026-04-01,208456.73762144754,78515.96230698716,87726.86664846259
2026-04-02,208640.24706714237,78515.96230698716,87726.86664846259
2026-04-06,215157.36736153133,78515.96230698716,87726.86664846259
2026-04-07,215073.89998271668,78515.96230698716,87726.86664846259
2026-04-08,232110.8839282603,78515.96230698716,87726.86664846259
2026-04-09,240528.3516115921,78515.96230698716,87726.86664846259
2026-04-10,240003.8630177724,78515.96230698716,87726.86664846259
2026-04-13,243467.52207055263,78515.96230698716,87726.86664846259
2026-04-14,265464.11026043905,78515.96230698716,87726.86664846259
2026-04-15,260074.2335066734,78515.96230698716,87726.86664846259
