datetime,QQQ_buy_hold,S12_full,L1+L4
2026-04-29,65545.69943970857,54618.95259749231,55241.56328995601
2026-04-30,66155.65114444477,55127.222759112774,55744.57899658573
2026-05-01,66789.67131997217,55655.54907508777,56278.82190930301
2026-05-04,66663.98166858296,55550.8124231044,56172.91233726024
2026-05-05,67526.17414695854,56269.27374869643,56899.41953490129
2026-05-06,68921.8864915205,57432.31490988639,58075.485308603194
2026-05-07,68839.85564305227,57363.95895270964,58006.36384983906
2026-05-08,70445.54827302061,58701.975792747406,59359.36481207088
2026-05-11,70649.94160210318,58872.295884650215,59531.592276880205
2026-05-12,70050.00870907429,58372.374356218534,59026.07224995039
2026-05-13,70788.09265630554,58987.41657060328,59648.0021711405
2026-05-14,71291.29501310388,59406.73295455911,60072.01437636491
2026-05-15,70214.04786257846,58509.06748522572,59164.2961717599
2026-05-18,69914.0211289201,58259.056483989225,58911.48535868227
2026-05-19,69484.65922833042,57901.27103817142,58549.69316147018
2026-05-20,70631.43802455055,58856.876932165615,59516.0006513311
2026-05-21,70769.33760150736,58971.788063199405,59632.19864391802
2026-05-22,71069.70702247998,59222.08462431752,59885.298214792296
2026-05-26,72326.60045463541,60269.44857615303,60944.391338463574
2026-05-27,72245.66745289636,60202.00744998695,60876.194955678046
2026-05-28,72854.54232027383,60709.38028761583,61389.249737187965
2026-05-29,73122.8026701903,60932.92049637281,61615.293317877986
2026-06-01,73562.52945766789,61299.34295835567,61985.81925507931
2026-06-02,73901.41931627945,61581.738436342785,62271.377210714374
2026-06-03,73708.76366914954,61421.19930489439,62109.040240935
2026-06-04,73358.23786187232,61129.10764036828,61813.67751354767
2026-06-05,69801.18561359086,58165.03112892002,58816.40703673884
2026-06-08,70894.24029550317,58141.765116468436,58792.88047392414
2026-06-09,70092.77757341039,57461.21302022808,58620.83711589059
2026-06-10,68685.62851988885,57438.22853501999,58614.975032179005
2026-06-11,70991.40491888863,57438.22853501999,58614.975032179005
2026-06-12,71408.91488581413,57438.22853501999,58614.975032179005
2026-06-15,73638.875417325,57438.22853501999,58614.975032179005
2026-06-16,72236.4462078005,57438.22853501999,58614.975032179005
2026-06-17,71518.09413630527,57438.22853501999,58614.975032179005
2026-06-18,73303.98066214976,57438.22853501999,58614.975032179005
2026-06-22,73121.1825811338,57438.22853501999,58614.975032179005
2026-06-23,70706.94588015974,57438.22853501999,58614.975032179005
2026-06-24,70407.86845603655,57438.22853501999,58614.975032179005
2026-06-25,70998.42225896801,57438.22853501999,58614.975032179005
2026-06-26,70020.4358375395,57438.22853501999,58614.975032179005
2026-06-29,71750.2764022919,57438.22853501999,58614.975032179005
2026-06-30,72970.91896375982,57438.22853501999,58614.975032179005
2026-07-01,71854.1795179436,57438.22853501999,58614.975032179005
2026-07-02,70609.39481823803,57438.22853501999,58614.975032179005
2026-07-06,71619.1514944099,57438.22853501999,58614.975032179005
2026-07-07,70286.74067740004,57438.22853501999,58614.975032179005
2026-07-08,70489.96855058608,57438.22853501999,58614.975032179005
2026-07-09,71658.38235661342,57438.22853501999,58614.975032179005
2026-07-10,71881.0218411818,57438.22853501999,58614.975032179005
2026-07-13,70510.30528897457,57438.22853501999,58614.975032179005
2026-07-14,71298.51133987753,57438.22853501999,58614.975032179005
2026-07-15,71108.80552135462,57438.22853501999,58614.975032179005
2026-07-16,69934.9032067728,57438.22853501999,58614.975032179005
2026-07-17,68891.34276526883,57438.22853501999,58614.975032179005
2026-07-20,68969.54590862776,57438.22853501999,58614.975032179005
2026-07-21,70245.20154850447,57438.22853501999,58614.975032179005
2026-07-22,69887.83339737849,57438.22853501999,58614.975032179005
2026-07-23,68556.9953034356,57438.22853501999,58614.975032179005
2026-07-24,67789.75497764122,57438.22853501999,58614.975032179005
2026-07-27,67590.91087338283,57438.22853501999,58614.975032179005
2026-07-28,66933.30851477513,57438.22853501999,58614.975032179005
2026-07-29,65569.88987436803,57438.22853501999,58614.975032179005
2026-07-30,67715.18432243886,57438.22853501999,58614.975032179005
2026-07-31,68160.07655163354,57438.22853501999,58614.975032179005
2026-08-03,69356.33461468082,57438.22853501999,58614.975032179005
2026-08-04,71694.47207578717,57438.22853501999,58614.975032179005
2026-08-05,71048.65121501645,57438.22853501999,58614.975032179005
2026-08-06,70789.63037601697,57438.22853501999,58614.975032179005
